file	function	unbound_name	line
gateway/run.py	_redact_gateway_user_facing_secrets	_GATEWAY_SECRET_PATTERNS	144
gateway/run.py	_gateway_provider_error_reply	_GATEWAY_AUTH_ERROR_RE	151
gateway/run.py	_gateway_provider_error_reply	_GATEWAY_PROVIDER_POLICY_RE	156
gateway/run.py	_gateway_provider_error_reply	_GATEWAY_RATE_LIMIT_RE	161
gateway/run.py	_looks_like_gateway_provider_error	_GATEWAY_PROVIDER_ERROR_SHAPE_RE	204
gateway/run.py	_prepare_gateway_status_message	_TELEGRAM_NOISY_STATUS_RE	234
gateway/run.py	_telegramize_command_mentions	_TELEGRAM_COMMAND_MENTION_RE	258
gateway/run.py	_auto_continue_freshness_window	_AUTO_CONTINUE_FRESHNESS_SECS_DEFAULT	328
gateway/run.py	_auto_continue_freshness_window	_AUTO_CONTINUE_FRESHNESS_SECS_DEFAULT	332
gateway/run.py	_is_fresh_gateway_interruption	_AUTO_CONTINUE_FRESHNESS_SECS_DEFAULT	368
gateway/run.py	_build_replay_entry	_ASSISTANT_REPLAY_FIELDS	436
gateway/run.py	_restart_notification_pending	_hermes_home	538
gateway/run.py	_reload_runtime_env_preserving_config_authority	_hermes_home	572
gateway/run.py	_reload_runtime_env_preserving_config_authority	_hermes_home	576
gateway/run.py	_resolve_runtime_agent_kwargs	logger	866
gateway/run.py	_try_resolve_fallback_provider	_hermes_home	890
gateway/run.py	_try_resolve_fallback_provider	logger	909
gateway/run.py	_try_resolve_fallback_provider	logger	925
gateway/run.py	_is_control_interrupt_message	_CONTROL_INTERRUPT_MESSAGES	1041
gateway/run.py	_load_gateway_config	_hermes_home	1177
gateway/run.py	_load_gateway_config	logger	1195
gateway/run.py	GatewayRunner.__init__	logger	1558
gateway/run.py	GatewayRunner.__init__	logger	1578
gateway/run.py	GatewayRunner.__init__	logger	1595
gateway/run.py	GatewayRunner._wire_teams_pipeline_runtime	logger	1626
gateway/run.py	GatewayRunner._wire_teams_pipeline_runtime	logger	1631
gateway/run.py	GatewayRunner._wire_teams_pipeline_runtime	logger	1636
gateway/run.py	GatewayRunner._wire_teams_pipeline_runtime	logger	1639
gateway/run.py	GatewayRunner._wire_teams_pipeline_runtime	logger	1641
gateway/run.py	GatewayRunner._warn_if_docker_media_delivery_is_risky	logger	1672
gateway/run.py	GatewayRunner._warn_if_docker_media_delivery_is_risky	_DOCKER_VOLUME_SPEC_RE	1676
gateway/run.py	GatewayRunner._warn_if_docker_media_delivery_is_risky	_DOCKER_MEDIA_OUTPUT_CONTAINER_PATHS	1680
gateway/run.py	GatewayRunner._warn_if_docker_media_delivery_is_risky	logger	1687
gateway/run.py	GatewayRunner._load_voice_modes	logger	1731
gateway/run.py	GatewayRunner._save_voice_modes	logger	1747
gateway/run.py	GatewayRunner._safe_adapter_disconnect	logger	1843
gateway/run.py	GatewayRunner._safe_adapter_disconnect	logger	1849
gateway/run.py	GatewayRunner._adapter_disconnect_timeout_secs	logger	1862
gateway/run.py	GatewayRunner._adapter_disconnect_timeout_secs	_ADAPTER_DISCONNECT_TIMEOUT_SECS_DEFAULT	1868
gateway/run.py	GatewayRunner._platform_connect_timeout_secs	logger	1877
gateway/run.py	GatewayRunner._platform_connect_timeout_secs	_PLATFORM_CONNECT_TIMEOUT_SECS_DEFAULT	1883
gateway/run.py	GatewayRunner._telegram_topic_mode_enabled	logger	1942
gateway/run.py	GatewayRunner._recover_telegram_topic_thread_id	logger	2071
gateway/run.py	GatewayRunner._resolve_session_agent_runtime	logger	2120
gateway/run.py	GatewayRunner._resolve_session_agent_runtime	logger	2128
gateway/run.py	GatewayRunner._resolve_session_agent_runtime	logger	2133
gateway/run.py	GatewayRunner._resolve_session_agent_runtime	logger	2142
gateway/run.py	GatewayRunner._resolve_session_agent_runtime	logger	2162
gateway/run.py	GatewayRunner._handle_adapter_fatal_error	logger	2221
gateway/run.py	GatewayRunner._handle_adapter_fatal_error	logger	2251
gateway/run.py	GatewayRunner._handle_adapter_fatal_error	logger	2260
gateway/run.py	GatewayRunner._handle_adapter_fatal_error	logger	2262
gateway/run.py	GatewayRunner._handle_adapter_fatal_error	logger	2275
gateway/run.py	GatewayRunner._goal_still_active_for_session	logger	2422
gateway/run.py	GatewayRunner._pause_failed_platform	logger	2489
gateway/run.py	GatewayRunner._resume_paused_platform	logger	2520
gateway/run.py	GatewayRunner._load_prefill_messages	_hermes_home	2535
gateway/run.py	GatewayRunner._load_prefill_messages	_hermes_home	2546
gateway/run.py	GatewayRunner._load_prefill_messages	logger	2548
gateway/run.py	GatewayRunner._load_prefill_messages	logger	2554
gateway/run.py	GatewayRunner._load_prefill_messages	logger	2558
gateway/run.py	GatewayRunner._load_ephemeral_system_prompt	_hermes_home	2573
gateway/run.py	GatewayRunner._load_reasoning_config	_hermes_home	2594
gateway/run.py	GatewayRunner._load_reasoning_config	logger	2603
gateway/run.py	GatewayRunner._load_service_tier	_hermes_home	2677
gateway/run.py	GatewayRunner._load_service_tier	logger	2690
gateway/run.py	GatewayRunner._load_show_reasoning	_hermes_home	2698
gateway/run.py	GatewayRunner._load_busy_input_mode	_hermes_home	2717
gateway/run.py	GatewayRunner._load_restart_drain_timeout	_hermes_home	2737
gateway/run.py	GatewayRunner._load_restart_drain_timeout	logger	2749
gateway/run.py	GatewayRunner._load_background_notifications_mode	_hermes_home	2770
gateway/run.py	GatewayRunner._load_background_notifications_mode	logger	2784
gateway/run.py	GatewayRunner._load_provider_routing	_hermes_home	2796
gateway/run.py	GatewayRunner._load_fallback_model	_hermes_home	2815
gateway/run.py	GatewayRunner._snapshot_running_agents	_AGENT_PENDING_SENTINEL	2830
gateway/run.py	GatewayRunner._handle_active_session_busy_message	logger	2846
gateway/run.py	GatewayRunner._handle_active_session_busy_message	_AGENT_PENDING_SENTINEL	2902
gateway/run.py	GatewayRunner._handle_active_session_busy_message	logger	2909
gateway/run.py	GatewayRunner._handle_active_session_busy_message	_AGENT_PENDING_SENTINEL	2928
gateway/run.py	GatewayRunner._handle_active_session_busy_message	logger	2939
gateway/run.py	GatewayRunner._handle_active_session_busy_message	_AGENT_PENDING_SENTINEL	2954
gateway/run.py	GatewayRunner._handle_active_session_busy_message	_hermes_home	3012
gateway/run.py	GatewayRunner._handle_active_session_busy_message	logger	3014
gateway/run.py	GatewayRunner._handle_active_session_busy_message	logger	3032
gateway/run.py	GatewayRunner._interrupt_running_agents	_AGENT_PENDING_SENTINEL	3068
gateway/run.py	GatewayRunner._interrupt_running_agents	logger	3072
gateway/run.py	GatewayRunner._interrupt_running_agents	logger	3074
gateway/run.py	GatewayRunner._notify_active_sessions_of_shutdown	logger	3103
gateway/run.py	GatewayRunner._notify_active_sessions_of_shutdown	logger	3141
gateway/run.py	GatewayRunner._notify_active_sessions_of_shutdown	logger	3153
gateway/run.py	GatewayRunner._notify_active_sessions_of_shutdown	logger	3162
gateway/run.py	GatewayRunner._notify_active_sessions_of_shutdown	logger	3167
gateway/run.py	GatewayRunner._notify_active_sessions_of_shutdown	logger	3184
gateway/run.py	GatewayRunner._notify_active_sessions_of_shutdown	logger	3201
gateway/run.py	GatewayRunner._notify_active_sessions_of_shutdown	logger	3210
gateway/run.py	GatewayRunner._notify_active_sessions_of_shutdown	logger	3216
gateway/run.py	GatewayRunner._increment_restart_failure_counts	_hermes_home	3289
gateway/run.py	GatewayRunner._suspend_stuck_loop_sessions	_hermes_home	3316
gateway/run.py	GatewayRunner._suspend_stuck_loop_sessions	logger	3334
gateway/run.py	GatewayRunner._clear_restart_failure_count	_hermes_home	3363
gateway/run.py	GatewayRunner._launch_detached_restart_command	logger	3383
gateway/run.py	GatewayRunner._schedule_resume_pending_sessions	logger	3529
gateway/run.py	GatewayRunner._schedule_resume_pending_sessions	logger	3542
gateway/run.py	GatewayRunner._schedule_resume_pending_sessions	logger	3564
